Keyword,Average Salary
digital,1852.5223277074542
sales,1832.1284369114878
full,1196.328125
job,1146.0748540450375
account,963.9453630481668
stack,905.407965970611
development,869.1904960748288
build,800.3673621460507
application,764.5151869158879
seeking,701.930361675127
new,647.5994790374597
engineer,602.7117937635072
mobile,585.008872651357
developer,566.0161132214189
amazon,560.8403590944574
manager,534.9485808015975
app,524.0492540295724
software,500.79610951008647
custom,492.29814487632507
company,484.1985855410867
work,467.8298134098831
ai,463.14779453885814
generation,462.51121562952244
specialist,453.3866579606051
amp,419.0676801332778
writer,416.7090377526376
marketing,409.18112939505147
ecommerce,391.69492352749756
agency,388.0419316375199
project,378.3010028653295
experienced,377.51612903225805
experience,360.58000566411783
designer,348.9073777980813
translation,347.08775409023303
page,345.46090534979425
help,335.2104897878247
react,328.95411808950735
us,327.62779843520025
real,325.66494693396226
service,317.4333976833977
business,315.5889293633196
ad,313.09873823705635
web,312.77377805830605
graphic,308.55963658953254
design,308.2519552046998
product,306.79861005040476
expert,303.17648697159126
integration,299.20201612903224
looking,297.7044907778669
wordpress,289.4954080876907
online,281.913589645984
logo,280.2675082137299
lead,277.85592705167176
python,272.5231884057971
virtual,270.76552583862195
need,267.9600881401713
artist,263.1294088425236
book,260.73856106027137
needed,259.3367410866841
management,258.9543847241867
data,247.98049332997735
using,246.28928266438942
estate,242.66727199354318
site,242.49033886785125
native,241.64515408664582
editor,241.3147926156797
website,240.58754606172272
channel,236.06315343317323
entry,234.446872125115
creator,223.04155292690325
video,222.54253137815334
api,217.20625
brand,208.23385518591
english,208.2215921725595
creation,208.09305373525558
facebook,206.24148402429364
seo,205.47574552683898
assistant,204.00512325512327
required,202.15278359146086
media,200.45176443629697
create,198.24843281548107
videos,197.2549515381374
ads,193.31940541340037
editing,189.68993963782697
youtube,189.6548841495524
research,187.42855202390655
social,182.4196183505424
content,177.48102480803308
script,177.02165991902834
store,174.7470525187567
tiktok,171.13764988009592
email,163.39091954022987
support,154.65815664214625
short,151.29280085959886
shopify,146.15677966101694
instagram,130.70652173913044
simple,128.47811671087533
google,122.22044410413476
setup,90.71167097329888
excel,85.67552182163188
